timestamp,transaction_id,client_id,dish_category,dish_name,price,cost,quantity,profit,promo_applied,predicted_profit_margin
2026-01-21 14:01:50.007368,T10000,C-2679,tea,Зеленый чай,135,40.5,1,94.5,1,0.7
2026-01-21 08:05:50.007368,T10001,C-4257,bakery,Булочка с корицей,109,32.7,1,76.3,1,0.7
2026-01-21 12:17:50.007368,T10002,C-7924,snack,Кесадилья,181,68.78,1,112.22,1,0.62
2026-01-21 11:48:50.007368,T10003,C-6635,dessert,Эклер,226,79.1,1,146.9,1,0.65
2026-01-21 09:29:50.007368,T10004,C-5803,beverage,Какао,135,44.55,3,271.35,0,0.67
2026-01-21 12:12:50.007368,T10005,C-5741,tea,Зеленый чай,108,32.4,1,75.6,0,0.7
2026-01-21 17:24:50.007368,T10006,C-7065,dessert,Брауни,316,110.6,1,205.4,1,0.65
2026-01-21 11:59:50.007368,T10007,C-9751,tea,Чай с мятой,182,54.6,1,127.4,1,0.7000000000000001
2026-01-21 12:59:50.007368,T10008,C-1916,tea,Чай с мятой,188,56.4,1,131.6,0,0.7
2026-01-21 17:25:50.007368,T10009,,dessert,Панна котта,216,75.6,1,140.4,1,0.65
2026-01-21 14:25:50.007368,T10010,C-9830,tea,Черный чай,158,47.4,1,110.6,0,0.7
2026-01-21 12:37:50.007368,T10011,,sandwich,Сэндвич с лососем,342,136.8,1,205.2,1,0.6
2026-01-21 09:07:50.007368,T10012,C-2040,bakery,Бейгл,160,48.0,1,112.0,1,0.7
2026-01-21 19:33:50.007368,T10013,C-2876,dessert,Панна котта,341,119.35,2,443.3,0,0.65
2026-01-21 16:49:50.007368,T10014,C-8433,tea,Зеленый чай,143,42.9,1,100.1,0,0.7
2026-01-21 17:16:50.007368,T10015,,beverage,Айс-кофе,217,71.61,1,145.39,0,0.6699999999999999
2026-01-21 13:12:50.007368,T10016,C-9689,bakery,Круассан,127,38.1,1,88.9,1,0.7000000000000001
2026-01-21 13:07:50.007368,T10017,C-2290,dessert,Тирамису,278,97.3,1,180.7,0,0.6499999999999999
2026-01-21 17:48:50.007368,T10018,C-3705,beverage,Айс-кофе,218,71.94,1,146.06,1,0.67
2026-01-21 14:13:50.007368,T10019,C-6107,beverage,Мохито безалкогольный,216,71.28,1,144.72,0,0.67
2026-01-21 14:28:50.007368,T10020,C-6539,beverage,Лимонад,177,58.41,1,118.59,1,0.67
2026-01-21 11:14:50.007368,T10021,C-2104,coffee,Капучино,183,54.9,1,128.1,0,0.7
2026-01-21 09:15:50.007368,T10022,C-8744,dessert,Чизкейк,371,129.85,1,241.15,0,0.65
2026-01-21 17:12:50.007368,T10023,C-7735,coffee,Эспрессо,189,56.7,1,132.3,0,0.7000000000000001
2026-01-21 09:41:50.007368,T10024,,tea,Зеленый чай,112,33.6,1,78.4,1,0.7000000000000001
2026-01-21 10:28:50.007368,T10025,C-2235,bakery,Бейгл,134,40.2,1,93.8,0,0.7
2026-01-21 17:06:50.007368,T10026,,coffee,Мокко,303,90.9,2,424.2,0,0.7
2026-01-21 10:31:50.007368,T10027,,sandwich,Клаб-сэндвич,304,121.6,2,364.8,1,0.6
2026-01-21 19:16:50.007368,T10028,C-8973,snack,Суп-пюре,296,112.48,1,183.51999999999998,1,0.6199999999999999
2026-01-21 11:03:50.007368,T10029,,beverage,Лимонад,214,70.62,1,143.38,1,0.6699999999999999
2026-01-21 13:58:50.007368,T10030,,snack,Салат Цезарь,315,119.7,1,195.3,0,0.62
2026-01-21 09:04:50.007368,T10031,,tea,Чай с мятой,130,39.0,1,91.0,1,0.7
2026-01-21 09:05:50.007368,T10032,C-5272,sandwich,Клаб-сэндвич,418,167.2,1,250.8,0,0.6
2026-01-21 11:16:50.007368,T10033,C-6180,sandwich,Куриный сэндвич,283,113.2,1,169.8,1,0.6000000000000001
2026-01-21 14:36:50.007368,T10034,C-3170,coffee,Американо,183,54.9,1,128.1,0,0.7
2026-01-21 17:23:50.007368,T10035,C-5956,dessert,Эклер,240,84.0,1,156.0,0,0.65
2026-01-21 17:33:50.007368,T10036,C-3200,coffee,Американо,306,91.8,1,214.2,1,0.7
2026-01-21 09:35:50.007368,T10037,C-6617,bakery,Маффин,114,34.2,1,79.8,0,0.7
2026-01-21 17:32:50.007368,T10038,,sandwich,Куриный сэндвич,314,125.6,2,376.8,0,0.6
