date,day,weekday,predicted_profit,predicted_customers,predicted_revenue,cumulative_profit
2026-01-28,1,Ср,194.89679568551247,1,649.655985618375,194.89679568551247
2026-01-29,2,Чт,212.20434410914777,1,707.3478136971593,407.10113979466024
2026-01-30,3,Пт,196.13590281432576,1,653.7863427144192,603.237042608986
2026-01-31,4,Сб,185.33006829377663,0,617.7668943125888,788.5671109027627
2026-02-01,5,Вс,167.02982704057985,0,556.7660901352662,955.5969379433425
2026-02-02,6,Пн,175.98954304126704,0,586.6318101375568,1131.5864809846096
2026-02-03,7,Вт,199.41332078543618,1,664.7110692847873,1330.9998017700457
2026-02-04,8,Ср,165.12546492818734,0,550.4182164272912,1496.125266698233
2026-02-05,9,Чт,208.84082594891171,1,696.1360864963724,1704.9660926471447
2026-02-06,10,Пт,206.7638741537444,1,689.2129138458147,1911.729966800889
2026-02-07,11,Сб,188.25374588737787,0,627.5124862912596,2099.983712688267
2026-02-08,12,Вс,203.21370971984257,1,677.3790323994752,2303.1974224081096
2026-02-09,13,Пн,193.5829400846831,1,645.2764669489436,2496.780362492793
2026-02-10,14,Вт,178.94211432915213,0,596.4737144305071,2675.722476821945
2026-02-11,15,Ср,161.682017374678,0,538.9400579155933,2837.4044941966226
2026-02-12,16,Чт,192.34065181090244,1,641.1355060363416,3029.745146007525
2026-02-13,17,Пт,198.03129004911082,1,660.1043001637028,3227.7764360566357
2026-02-14,18,Сб,176.2280691092281,0,587.4268970307604,3404.004505165864
2026-02-15,19,Вс,174.2072842218801,0,580.690947406267,3578.211789387744
2026-02-16,20,Пн,204.51188453265226,1,681.7062817755076,3782.7236739203963
2026-02-17,21,Вт,199.6794524479466,1,665.5981748264887,3982.403126368343
2026-02-18,22,Ср,178.23852204790046,0,594.1284068263349,4160.641648416244
2026-02-19,23,Чт,183.74412772508796,0,612.4804257502932,4344.385776141332
2026-02-20,24,Пт,202.61994920943863,1,675.3998306981288,4547.00572535077
2026-02-21,25,Сб,177.4719324803007,0,591.573108267669,4724.477657831071
2026-02-22,26,Вс,204.4290071898617,1,681.4300239662057,4928.906665020932
2026-02-23,27,Пн,222.69790486566288,1,742.3263495522096,5151.6045698865955
2026-02-24,28,Вт,192.89996410281768,1,642.9998803427256,5344.504533989413
2026-02-25,29,Ср,165.37890481123074,0,551.2630160374358,5509.8834388006435
2026-02-26,30,Чт,174.94945037687057,0,583.1648345895686,5684.8328891775145
