date,day,weekday,predicted_profit,predicted_customers,predicted_revenue,cumulative_profit
2026-01-21,1,Ср,168.73957813842927,0,562.465260461431,168.73957813842927
2026-01-22,2,Чт,220.37366517817424,1,734.5788839272475,389.11324331660353
2026-01-23,3,Пт,198.66415533524955,1,662.2138511174985,587.7773986518531
2026-01-24,4,Сб,152.70162894125008,0,509.00542980416697,740.4790275931032
2026-01-25,5,Вс,180.5626893737226,0,601.875631245742,921.0417169668258
2026-01-26,6,Пн,225.39121105386963,1,751.3040368462321,1146.4329280206955
2026-01-27,7,Вт,210.90670747400506,1,703.0223582466836,1357.3396354947006
2026-01-28,8,Ср,174.90696917824312,0,583.0232305941438,1532.2466046729437
2026-01-29,9,Чт,208.41016541590656,1,694.7005513863552,1740.6567700888502
2026-01-30,10,Пт,201.41480837860206,1,671.3826945953402,1942.0715784674521
2026-01-31,11,Сб,169.64660444713036,0,565.4886814904346,2111.7181829145825
2026-02-01,12,Вс,170.99391779329008,0,569.9797259776336,2282.7121007078727
2026-02-02,13,Пн,168.4041522361015,0,561.3471741203384,2451.1162529439744
2026-02-03,14,Вт,165.28188693005953,0,550.9396231001984,2616.398139874034
2026-02-04,15,Ср,206.83614269055997,1,689.4538089685333,2823.2342825645937
2026-02-05,16,Чт,181.51080109824986,0,605.0360036608329,3004.7450836628436
2026-02-06,17,Пт,161.45602330301006,0,538.1867443433669,3166.201106965854
2026-02-07,18,Сб,158.1791345524412,0,527.2637818414707,3324.380241518295
2026-02-08,19,Вс,173.1596513634343,0,577.1988378781144,3497.5398928817294
2026-02-09,20,Пн,173.71168309390555,0,579.0389436463519,3671.251575975635
2026-02-10,21,Вт,170.6737714969212,0,568.912571656404,3841.9253474725565
2026-02-11,22,Ср,195.8027037175802,1,652.6756790586006,4037.7280511901367
2026-02-12,23,Чт,213.03362903478782,1,710.112096782626,4250.761680224925
2026-02-13,24,Пт,177.74080420680997,0,592.4693473560333,4428.502484431735
2026-02-14,25,Сб,170.60667976310106,0,568.6889325436703,4599.109164194836
2026-02-15,26,Вс,181.2221477797017,0,604.073825932339,4780.331311974538
2026-02-16,27,Пн,196.3285918928119,1,654.4286396427063,4976.65990386735
2026-02-17,28,Вт,195.1849459015906,1,650.6164863386354,5171.844849768941
2026-02-18,29,Ср,196.58557972614278,1,655.2852657538093,5368.430429495083
2026-02-19,30,Чт,216.92281695574252,1,723.0760565191417,5585.353246450826
